shipping_cost,package_weight
27163.3,5.5
13785.93,2.52
37510.35,7.644
17634.76,4.092
6094.22,1.622
34046.25,7.287
12969.98,2.441
47320.64,9.167
47926.79,9.548
46168.9,9.25
21657.14,4.66
5695.55,0.631
46774.34,9.814
24268.29,4.806
48499.47,9.572
48362.9,9.369
43385.43,8.181
18250.2,3.897
22329.4,4.488
43301.15,8.273
19261.49,3.464
12627.17,2.425
30056.06,6.512
47126.96,9.348
36321.34,6.813
30652.75,6.057
9372.94,1.793
32675.33,5.726
49552.42,9.894
11303.78,2.191
28324.83,5.874
44481.79,9.451
38334.59,8.005
36365.71,7.192
36611.78,6.99
21177.1,5.007
18211.63,3.66
41421.25,8.288
41455.1,8.284
44018.25,8.863
46095.82,9.176
28010.41,5.43
27568.23,5.35
40923.28,8.175
34248.38,6.687
36588.51,7.104
40810.67,8.194
45050.24,8.934
20209.78,4.493
21901.23,3.585
9229.19,2.173
31022.61,6.578
6617.4,0.701
25951.91,5.088
29419.01,5.772
17894.36,3.157
31587.5,6.084
6372.51,0.941
6680.67,1.862
42017.03,8.684
21208.58,4.623
10717.72,2.36
28500.95,5.361
39649.71,7.773
14711.95,3.089
33030.07,6.239
8840.64,1.982
7325.68,1.393
28910.96,5.67
29328.58,6.079
33684.35,6.87
37674.11,7.427
48913.34,10.13
28233.52,5.322
19533.04,4.091
40783.38,8.335
17187.45,3.345
24753.71,5.049
8530.54,1.331
6140.78,1.505
48319.18,9.608
42619.11,8.367
36318.84,7.578
23402.88,4.469
12798.24,2.137
12039.67,1.941
16260.93,3.434
29715.2,5.559
37156.82,7.958
34708.88,6.317
17597.03,4.028
47968.94,9.657
38205.36,7.612
29945.93,5.826
32527.43,6.625
23882.0,4.765
16147.89,3.561
21018.77,4.238
39103.07,7.866
5647.71,1.02
10223.27,2.028
7070.12,1.506
6832.8,0.854
43495.73,8.295
36664.6,7.556
26337.82,5.319
9402.54,1.825
27122.71,5.43
26306.23,5.366
12794.08,2.397
24523.32,4.671
22932.71,4.645
32713.25,6.249
33579.21,6.838
7038.68,0.897
21857.57,4.68
33163.7,6.775
27641.13,5.605
43542.04,9.003
34641.21,7.428
12332.05,2.771
8175.59,1.083
33908.87,6.398
6193.01,1.051
31359.9,6.28
47310.36,9.617
30896.34,5.962
22467.65,4.55
33947.97,6.563
25621.38,4.941
29552.76,5.489
47365.92,9.196
22374.62,4.069
48253.58,9.358
45740.78,9.464
13810.6,2.477
8121.26,2.414
9535.01,2.055
5819.98,1.219
9249.93,1.592
35735.3,7.357
8203.49,1.468
19353.9,3.907
43019.39,9.372
6047.24,1.181
41651.08,8.675
17683.46,3.326
10317.42,2.053
36353.17,7.802
33302.43,6.472
44486.24,9.441
38078.2,7.828
41156.64,8.063
17691.56,3.728
12984.78,2.889
38777.66,7.942
41307.56,7.79
49572.73,9.696
23567.8,4.639
21740.81,4.326
39938.58,8.174
20336.16,4.121
46884.08,8.976
43628.57,8.84
24304.73,5.044
38789.2,7.926
38954.43,8.115
9640.57,2.178
45614.88,9.261
27736.36,5.526
42190.59,7.94
19402.23,4.009
45298.55,9.122
22514.08,4.584
5487.69,0.715
45742.19,8.824
9107.9,2.138
19369.11,3.862
47752.79,9.755
47777.32,9.564
30804.7,6.17
33432.67,6.968
25180.05,4.881
18194.48,3.668
19789.9,3.819
35263.33,6.922
38856.85,7.679
40621.06,8.191
40532.82,7.963
9104.27,2.198
27248.91,5.181
7590.14,1.462
29728.8,5.814
24868.87,5.408
44946.69,9.048
20791.18,4.468
10268.02,1.608
11434.63,2.367
39267.98,8.12
32819.81,6.589
9550.52,2.23
8784.81,1.602
36543.61,7.732
8274.34,2.345
41983.7,8.288
36780.9,7.223
8660.7,2.168
8817.7,2.237
49398.78,9.723
21842.19,4.242
21678.9,4.251
41575.98,7.912
47626.19,9.25
49370.05,9.573
38902.02,7.55
21931.68,4.376
8757.53,1.822
39971.61,8.459
30128.19,5.726
24089.99,5.113
45785.95,9.093
10003.89,1.986
27168.13,5.636
5510.91,0.765
26089.73,5.333
7533.65,1.557
10346.81,2.217
10288.68,2.144
34214.46,7.579
38572.02,7.523
31251.59,6.091
48297.76,9.473
21869.18,4.207
17857.04,3.38
44086.96,9.174
15061.81,3.439
48345.01,9.498
5546.95,0.86
48644.55,9.87
6942.2,1.223
45101.44,9.21
28746.55,5.81
49683.42,9.482
8320.85,2.128
29923.44,6.523
48618.61,9.54
28539.4,5.592
33322.94,6.75
36308.69,7.362
25454.35,5.288
33240.11,7.251
31294.14,6.206
45552.11,8.871
7045.09,0.995
17643.34,3.309
47768.52,9.544
45061.87,9.551
25504.55,4.946
32905.97,6.648
17482.15,3.492
13465.45,3.05
25866.43,5.931
20900.85,4.021
31264.53,6.106
8498.06,2.013
48847.77,9.974
49379.48,10.43
