study_hours,attendance,previous_grade,assignments_completed,academic_risk
2.65,85.44,3.12,3,0
12.72,49.7,2.21,0,1
3.16,68.61,3.11,3,0
7.56,83.1,3.39,5,0
10.64,54.84,4.17,4,0
17.61,78.44,3.97,0,0
10.38,80.0,4.13,3,0
14.34,49.76,2.03,5,0
19.86,73.91,2.65,9,0
3.5,86.3,3.99,9,0
6.22,69.93,3.45,3,0
8.5,40.73,2.02,8,0
9.01,40.54,4.41,4,1
8.81,61.42,4.32,7,0
18.24,95.57,3.65,8,0
14.57,53.72,2.2,9,0
12.55,78.06,4.3,4,0
6.88,53.32,3.75,5,0
16.65,59.3,4.35,0,0
19.15,90.88,4.26,10,0
16.6,83.73,4.41,6,0
1.03,45.72,3.55,3,1
13.09,65.72,2.42,10,0
1.97,41.75,4.01,1,1
5.89,68.85,3.86,4,0
2.13,79.75,4.23,2,1
12.47,47.11,2.51,5,0
14.05,57.33,2.58,7,0
3.18,63.87,4.67,6,0
8.29,95.17,4.25,2,0
9.67,99.6,4.72,7,0
8.01,42.69,4.28,1,1
3.3,85.66,3.79,9,0
8.96,62.3,3.96,8,0
15.27,63.55,4.67,3,0
2.35,85.26,3.74,0,0
2.52,95.11,3.9,7,0
7.74,97.06,2.47,6,0
18.89,74.63,3.42,10,0
13.7,61.43,4.15,4,0
13.89,87.25,2.81,9,0
7.88,55.06,2.61,4,0
12.28,73.84,2.94,6,0
1.19,61.51,2.72,4,1
13.09,79.4,2.64,7,0
18.35,54.42,3.27,10,0
12.64,51.5,4.72,5,0
17.6,95.09,3.52,4,0
14.76,46.11,2.56,8,0
3.29,70.36,2.23,10,0
18.15,53.25,4.09,1,0
2.26,42.34,3.15,0,0
11.15,42.16,4.47,7,0
3.7,50.51,3.98,2,0
1.22,92.01,4.39,10,0
9.02,56.95,2.82,6,0
6.61,97.03,4.08,9,0
10.23,74.9,2.79,10,0
11.97,66.2,4.82,7,0
1.83,74.81,3.91,5,0
3.34,71.0,2.97,9,0
11.61,85.53,2.81,8,0
7.52,56.95,2.57,6,0
14.85,61.18,4.08,9,0
13.39,93.65,2.66,4,0
17.07,96.79,3.79,7,0
14.16,93.55,2.79,1,0
9.17,65.17,3.99,6,0
13.79,86.82,4.44,3,0
6.23,68.58,4.33,8,0
6.82,69.85,4.28,0,0
15.99,52.28,2.56,6,1
9.48,75.47,2.27,5,1
16.17,51.17,4.1,7,0
16.63,59.89,3.11,4,0
17.29,91.3,3.3,0,0
18.42,52.42,2.09,0,1
9.19,44.27,2.78,8,0
7.06,44.14,2.1,9,0
12.06,96.45,4.64,5,0
8.05,70.42,2.73,9,0
12.42,64.56,3.67,4,1
14.41,88.65,2.12,0,0
14.08,90.15,4.0,5,0
8.12,59.93,2.97,5,0
4.17,81.62,4.69,2,0
9.18,86.27,4.66,7,0
3.71,79.28,2.98,0,1
17.91,49.1,4.7,0,0
7.57,92.55,4.99,5,0
3.93,72.35,4.48,9,0
1.48,56.95,4.53,0,1
13.27,65.51,2.75,5,0
13.1,42.25,3.73,0,0
7.47,47.67,2.2,5,1
2.36,85.93,2.28,2,0
8.78,40.0,5.0,7,0
6.91,64.99,2.98,5,1
13.87,71.35,4.24,10,0
12.51,43.28,4.42,0,1
7.93,98.38,4.57,4,0
5.14,53.57,4.99,7,0
19.77,58.25,2.72,2,0
9.63,58.24,2.12,5,1
14.08,53.82,3.23,4,0
3.67,40.09,2.39,5,1
10.23,83.76,2.07,9,0
1.52,98.01,3.08,0,1
10.6,53.46,4.35,6,0
19.32,79.78,3.7,8,0
8.3,84.51,2.94,1,0
1.74,90.91,3.96,9,0
1.59,65.36,2.7,4,1
8.37,58.18,2.04,9,0
4.04,59.52,4.29,3,0
1.44,82.76,3.87,5,0
15.37,89.01,4.29,5,0
9.71,50.9,2.12,10,0
6.5,62.26,4.51,1,0
18.1,94.12,3.86,1,0
3.21,88.4,3.69,3,0
19.16,99.09,3.87,0,0
6.97,85.25,4.59,8,0
17.88,63.59,3.76,6,0
12.46,75.44,3.74,6,0
16.71,79.66,4.97,2,0
19.7,44.71,4.27,10,0
6.48,72.67,3.33,2,0
19.26,82.56,4.12,0,0
8.4,50.04,3.17,2,1
8.32,86.84,2.69,2,0
7.47,75.03,3.79,3,0
11.29,97.13,4.78,3,0
3.93,42.55,4.79,2,1
11.52,55.92,3.03,9,0
11.29,76.09,3.58,7,0
15.48,57.79,2.63,7,0
16.84,82.87,4.99,0,0
9.37,85.54,4.94,6,0
6.74,46.15,3.95,10,0
5.93,70.83,4.41,1,1
4.7,70.53,4.15,0,0
2.1,62.16,3.78,2,1
7.51,95.98,2.16,3,0
6.13,89.65,3.36,5,0
19.36,81.83,4.02,9,0
11.6,82.86,4.03,4,0
7.6,67.7,3.12,3,1
12.03,95.26,4.83,7,0
3.64,81.68,2.5,10,0
9.44,83.74,3.5,3,0
12.9,91.7,4.07,9,0
10.29,56.44,4.09,1,1
8.63,88.42,3.95,2,1
19.88,51.71,2.83,5,0
17.73,60.72,2.47,7,0
12.84,60.14,3.91,7,0
11.82,98.71,3.8,10,0
12.79,91.39,2.54,8,0
4.82,82.07,4.12,6,0
8.51,83.62,3.37,1,1
1.75,73.72,4.0,7,0
10.04,96.83,4.51,6,0
11.32,69.78,2.51,7,0
5.33,62.83,2.06,2,1
19.32,49.78,4.34,6,0
18.28,87.17,3.83,9,0
14.72,84.07,4.1,8,0
11.13,63.06,4.51,2,0
17.53,41.51,4.41,9,0
3.48,90.34,4.88,5,1
16.02,40.69,3.61,1,1
3.37,82.22,3.47,1,0
16.09,98.22,3.21,4,0
6.24,66.26,2.46,4,0
17.66,54.1,3.72,6,1
18.94,82.29,2.83,1,0
3.83,89.03,4.76,10,0
9.79,72.79,3.75,6,0
19.64,98.02,3.78,4,0
10.18,43.1,3.06,5,0
17.41,70.29,2.16,7,0
12.19,83.11,2.1,9,0
8.13,91.76,3.27,3,0
6.43,50.76,2.25,6,1
4.86,88.0,3.82,5,0
15.47,73.16,4.64,9,0
8.34,63.79,4.65,1,1
10.71,47.9,3.98,7,0
10.35,91.92,2.63,9,0
11.97,49.44,4.59,8,0
17.45,58.59,4.66,4,0
19.63,57.4,2.59,9,0
8.74,92.28,4.21,3,0
16.72,80.36,2.86,5,0
15.53,87.8,4.41,7,0
11.9,55.03,4.99,10,0
19.16,77.49,2.09,2,0
4.81,74.3,4.69,9,1
3.08,89.97,3.87,10,1
17.23,94.37,4.92,10,0
9.34,40.73,3.4,0,1
17.09,80.44,4.54,3,0
17.97,43.11,2.19,3,1
2.19,72.93,3.01,0,1
17.79,57.26,2.2,8,0
9.52,58.41,4.93,2,0
10.7,61.18,4.45,4,0
12.91,77.28,4.56,5,0
18.6,60.04,4.81,7,0
1.36,83.96,2.26,5,0
10.06,64.27,3.16,2,0
14.07,44.1,2.21,5,0
14.73,87.03,2.63,0,0
14.16,57.15,2.69,3,0
3.55,65.97,3.41,5,0
6.69,81.13,2.81,6,0
7.82,59.95,2.3,10,0
16.28,43.4,2.5,10,0
6.3,62.44,2.44,9,0
5.0,96.67,4.92,2,0
19.19,78.5,4.28,8,0
1.17,80.29,4.9,6,1
19.96,77.94,3.32,0,0
13.86,51.94,2.84,1,0
16.74,65.1,4.39,0,1
6.6,85.06,2.98,10,0
1.27,46.08,2.9,8,1
15.02,56.67,2.7,8,0
16.85,56.58,2.39,6,0
15.07,65.92,2.77,9,0
3.71,98.82,3.07,2,1
15.32,44.05,4.02,4,0
15.61,71.12,2.19,3,0
13.51,50.76,2.63,6,0
15.56,98.24,4.43,8,0
17.07,46.8,2.44,1,0
12.66,64.22,3.03,7,1
2.68,84.27,4.59,8,0
10.26,82.27,2.46,9,0
2.48,65.36,2.25,9,0
8.74,60.79,3.45,8,0
8.74,63.86,2.91,9,0
2.25,55.86,3.69,6,1
7.63,52.32,4.41,8,0
3.11,68.98,2.41,8,1
16.36,56.11,3.74,2,1
19.01,57.25,3.52,3,0
2.37,79.41,2.43,1,1
19.15,98.11,3.87,9,0
10.93,76.22,2.82,2,1
6.69,44.62,3.46,10,0
2.46,44.54,2.25,10,0
10.51,97.09,3.38,4,0
16.1,57.84,2.92,4,0
14.43,45.52,4.47,5,0
1.95,75.94,2.17,6,0
2.39,77.42,3.26,6,0
8.65,78.91,3.38,0,0
6.61,56.04,4.18,1,0
5.42,40.91,3.72,8,0
6.34,97.9,4.0,9,0
16.27,55.05,4.33,1,0
18.66,80.56,4.59,5,0
8.7,82.4,2.94,10,0
18.22,76.6,3.61,10,0
7.11,58.77,4.52,0,1
10.05,56.27,4.97,2,0
5.29,75.86,4.67,1,1
13.17,91.97,3.11,2,0
19.6,96.8,2.59,4,0
12.47,46.35,3.47,10,0
7.8,49.29,4.22,9,1
13.31,96.68,3.48,5,0
3.34,84.19,3.45,8,0
17.88,92.98,4.51,10,0
10.56,52.16,3.08,9,0
9.54,75.26,4.58,3,0
12.13,82.07,3.22,6,0
12.87,80.81,2.98,5,0
2.36,64.49,3.36,1,1
13.97,40.92,4.29,9,0
5.6,74.98,2.38,10,0
14.57,55.19,2.59,10,0
16.63,67.02,4.85,10,0
16.28,97.45,2.53,7,1
11.5,63.94,3.7,6,0
10.88,90.39,3.74,6,0
3.71,51.31,3.47,7,0
15.73,80.35,3.93,10,0
6.16,98.62,2.69,0,0
10.44,46.11,3.66,0,1
6.4,40.5,3.12,7,1
3.54,66.01,3.99,3,0
12.96,45.56,2.42,4,0
2.03,84.9,3.71,7,0
15.22,94.87,2.56,4,0
7.03,66.04,2.84,9,0
1.0,55.52,2.66,3,1
10.71,66.06,2.55,5,0
1.89,83.41,4.48,4,0
6.25,40.54,2.86,6,1
14.43,75.37,4.78,9,0
2.19,76.8,4.91,6,1
16.95,78.26,3.71,3,0
1.07,54.52,2.43,4,1
5.69,82.84,3.12,2,0
15.08,45.48,4.39,3,1
7.01,51.96,3.1,3,0
2.94,92.65,2.26,2,1
7.84,84.32,3.67,9,0
6.14,40.82,4.54,4,0
17.01,54.9,4.39,4,0
6.95,52.86,2.53,10,0
15.99,56.25,4.02,6,0
17.95,54.85,2.66,3,0
9.24,43.75,2.65,3,1
18.29,67.54,4.62,8,0
8.17,83.96,2.75,5,1
19.32,76.4,2.79,3,0
2.7,80.37,2.0,1,1
14.05,44.87,4.61,5,0
10.38,97.09,4.38,1,0
8.37,90.31,3.88,4,0
13.02,88.31,4.25,5,0
14.37,89.38,2.46,3,0
1.08,95.96,3.37,2,0
4.17,72.66,3.05,6,1
14.55,52.02,2.28,1,1
13.66,77.01,3.46,10,0
19.35,84.57,4.76,5,0
15.46,84.28,2.12,3,1
19.06,71.29,2.87,5,0
14.35,44.11,2.62,3,0
6.66,62.27,2.71,3,1
3.0,95.25,4.73,3,0
15.85,75.07,3.4,8,0
13.24,72.3,3.4,6,0
